ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;WPts;LPts;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;PSW;PSL;MaxW;MaxL;AvgW;AvgL
1;Adelaide;Adelaide International 1;03/01/2022;ATP250;Outdoor;Hard;1st Round;3;Kwon S.W.;Nishioka Y.;53;81;1115;823;6;1;6;2;;;;;;;2;0;Completed;1,61;2,3;1,7;2,26;1,76;2,5;1,64;2,22
1;Adelaide;Adelaide International 1;03/01/2022;ATP250;Outdoor;Hard;1st Round;3;Monteiro T.;Altmaier D.;89;84;805;813;6;2;3;6;7;6;;;;;2;1;Completed;2,3;1,61;2,49;1,6;2,6;1,62;2,38;1,57
1;Adelaide;Adelaide International 1;03/01/2022;ATP250;Outdoor;Hard;1st Round;3;Djere L.;Carballes Baena R.;52;79;1131;837;7;5;7;6;;;;;;;2;0;Completed;1,66;2,2;1,81;2,1;1,83;2,26;1,7;2,12
1;Adelaide;Adelaide International 1;03/01/2022;ATP250;Outdoor;Hard;1st Round;3;Johnson S.;Vukic A.;85;156;812;440;6;4;2;6;6;4;;;;;2;1;Completed;2;1,8;2,21;1,74;2,3;1,8;2,1;1,72
1;Adelaide;Adelaide International 1;04/01/2022;ATP250;Outdoor;Hard;1st Round;3;Moutet C.;Rune H.;92;103;797;740;7;6;6;4;;;;;;;2;0;Completed;2,75;1,44;2,66;1,53;2,81;1,54;2,64;1,47
1;Adelaide;Adelaide International 1;04/01/2022;ATP250;Outdoor;Hard;1st Round;3;Daniel T.;Musetti L.;125;59;584;1004;6;4;6;7;6;3;;;;;2;1;Completed;2;1,8;2,19;1,75;2,25;1,8;2,09;1,73
1;Adelaide;Adelaide International 1;04/01/2022;ATP250;Outdoor;Hard;1st Round;3;Gerasimov E.;Fucsovics M.;113;40;665;1459;6;3;6;4;;;;;;;2;0;Completed;2,37;1,57;2,91;1,46;2,91;1,57;2,62;1,48
1;Adelaide;Adelaide International 1;04/01/2022;ATP250;Outdoor;Hard;1st Round;3;Ymer M.;Bonzi B.;94;64;782;969;7;5;7;5;;;;;;;2;0;Completed;2;1,8;2,15;1,78;2,15;1,82;2,04;1,77
1;Adelaide;Adelaide International 1;04/01/2022;ATP250;Outdoor;Hard;1st Round;3;Cerundolo J.M.;Bolt A.;90;137;803;506;6;2;6;4;;;;;;;2;0;Completed;2,75;1,44;2,87;1,47;3,32;1,47;2,89;1,41
1;Adelaide;Adelaide International 1;04/01/2022;ATP250;Outdoor;Hard;1st Round;3;Paul T.;Vesely J.;43;83;1349;822;6;4;4;6;6;4;;;;;2;1;Completed;1,33;3,4;1,35;3,45;1,35;3,6;1,32;3,35
1;Adelaide;Adelaide International 1;04/01/2022;ATP250;Outdoor;Hard;1st Round;3;Mager G.;Cerundolo F.;62;127;978;582;6;4;3;6;6;4;;;;;2;1;Completed;2;1,8;1,94;1,94;2;2,07;1,9;1,88
1;Adelaide;Adelaide International 1;04/01/2022;ATP250;Outdoor;Hard;1st Round;3;Kokkinakis T.;Millman J.;171;72;394;875;6;4;6;3;;;;;;;2;0;Completed;1,72;2,1;1,8;2,11;1,87;2,15;1,77;2,03
1;Adelaide;Adelaide International 1;05/01/2022;ATP250;Outdoor;Hard;2nd Round;3;Djere L.;Moutet C.;52;92;1131;797;4;6;7;5;;;;;;;1;1;Retired;2,3;1,61;2,31;1,69;2,49;1,72;2,28;1,62
1;Adelaide;Adelaide International 1;05/01/2022;ATP250;Outdoor;Hard;2nd Round;3;Cilic M.;Monteiro T.;30;89;1710;805;6;4;7;6;;;;;;;2;0;Completed;1,3;3,5;1,34;3,6;1,35;3,7;1,3;3,44
1;Adelaide;Adelaide International 1;05/01/2022;ATP250;Outdoor;Hard;2nd Round;3;Ymer M.;Kwon S.W.;94;53;782;1115;6;3;6;2;;;;;;;2;0;Completed;2,37;1,57;2,33;1,68;2,41;1,71;2,31;1,6
1;Adelaide;Adelaide International 1;05/01/2022;ATP250;Outdoor;Hard;2nd Round;3;Kokkinakis T.;Tiafoe F.;171;38;394;1492;3;6;7;5;6;1;;;;;2;1;Completed;2,3;1,61;2,37;1,66;2,4;1,73;2,26;1,63
